Confidence parameter	Abstain rate	Accuracy
0.5	0.0	0.8627430036317026
1.0	0.0	0.8925977355265969
1.5	0.0	0.8844798120059816
2.0	0.0	0.870326853236488
2.5	0.0004806665242469558	0.8601122094576543
3.0	0.0028839991454817347	0.85495447241564
3.5	0.010414441358684043	0.8528253008797021
4.0	0.02024140140995514	0.8517307168165713
4.5	0.030709250160222176	0.8527742575348504
5.0	0.04293954283272805	0.8560267857142857
5.5	0.05639820551164281	0.8587276431967399
6.0	0.07044434949797052	0.8611318586613043
6.5	0.08475753044221321	0.863686759642878
7.0	0.10013885921811579	0.8642055908362514
7.5	0.1151997436445204	0.8670248083539567
8.0	0.13100833155308694	0.8690922500153647
8.5	0.1477248451185644	0.870535154781301
9.0	0.16716513565477462	0.8750801590355265
9.5	0.19045075838496048	0.8805911070062014
10	0.21058534501174964	0.8834314322440971
12	0.3094424268318735	0.9030162412993039
13	0.3651997436445204	0.9093050647820966
14	0.4273125400555437	0.9153222046069197
15	0.49257637256996367	0.9210609409535838
17	0.6402478102969451	0.9326009501187649
20	0.8076799829096347	0.9752846431546792
