Neighborhood size	kNN accuracy	AKNN accuracy (A = 0.0)	Cumulative fraction (A = 0.0)	AKNN accuracy (A = 0.5)	Cumulative fraction (A = 0.5)	AKNN accuracy (A = 1.0)	Cumulative fraction (A = 1.0)	AKNN accuracy (A = 1.5)	Cumulative fraction (A = 1.5)	AKNN accuracy (A = 2.0)	Cumulative fraction (A = 2.0)	AKNN accuracy (A = 2.5)	Cumulative fraction (A = 2.5)	AKNN accuracy (A = 3.0)	Cumulative fraction (A = 3.0)	AKNN accuracy (A = 3.5)	Cumulative fraction (A = 3.5)	AKNN accuracy (A = 4.0)	Cumulative fraction (A = 4.0)	AKNN accuracy (A = 5.0)	Cumulative fraction (A = 5.0)	AKNN accuracy (A = 6.0)	Cumulative fraction (A = 6.0)	AKNN accuracy (A = 7.0)	Cumulative fraction (A = 7.0)	AKNN accuracy (A = 8.0)	Cumulative fraction (A = 8.0)	AKNN accuracy (A = 9.0)	Cumulative fraction (A = 9.0)
1.0	0.8892274403303084	0.8892274403303084	1.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
2.0	0.8784747521582654	0.8892274403303084	1.0	0.941645310097386	0.8615398202733435		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
3.0	0.9013490538959175	0.8892274403303084	1.0	0.941645310097386	0.8615398202733435		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
4.0	0.8973526749243779	0.8892274403303084	1.0	0.941645310097386	0.8615398202733435		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
5.0	0.9040206663575545	0.8892274403303084	1.0	0.9309137141075156	0.9204256916385154	0.9814935064935065	0.6800468084166832		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
8.0	0.9038881897065643	0.8892274403303084	1.0	0.9240091179754373	0.9492393632288976	0.9724914854597851	0.7584950652447506		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
11.0	0.904970082356318	0.8892274403303084	1.0	0.9214612712507764	0.9597712569826234	0.9665563926496344	0.7942196021284582	0.9936688311688312	0.5440374467333465		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
15.0	0.9027842176149787	0.8892274403303084	1.0	0.9168647156017292	0.9754918195668013	0.9628276925574223	0.816122408425515	0.9882745304546252	0.6289329005762734		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
21.0	0.9003113201298271	0.8892274403303084	1.0	0.9139753574073658	0.9837936896955245	0.9565854552115772	0.8437217107151531	0.9827852004110997	0.687465500872138	0.9948317156183033	0.5254686361528781		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
29.0	0.8970656421805657	0.8892274403303084	1.0	0.9122035109661857	0.9885849285730057	0.9470919514104604	0.8742796582102405	0.9744989799591983	0.7359519551345742	0.9903547796179296	0.590602989556424	0.9971304175737186	0.4462696783025325		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
